PCBName,MasterBarcode,InspectionDate,InspectionStartTime,PCBResult,Lane
H_MX5A_CTRO_DWLX REV C.01-PAD CHANGE TOP QC2510OFA039-SPI,001263250008100000011,2026-03-26,12:54:29,PASS,1
PanelResult,PanelNo,ArrayBarcode,PanelInspectionStartTime,PanelInspectionEndTime
GOOD,1,001163250008100000011,12:54:29,12:54:36
FAIL,2,001263250008100000011,12:54:29,12:54:36
PadDefectType,PadResult,ArrayNumber,PanelNumber,ComponentID
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700
-102,FAIL,1,2,U700